OrderID,OrderDate,CustomerName,State,City,Category,Sub-Category,PaymentMode,Quantity,Amount,Profit
ORD00090,2024-01-04 17:00:00,Madan Mohan,Madhya Pradesh,Pune,Accessories,Shirts,UPI,4,1881,449
ORD00091,2024-01-04 18:00:00,Madan Mohan,Madhya Pradesh,Ahmedabad,Clothing,Mobiles,UPI,2,4257,-552
ORD00092,2024-01-04 19:00:00,Harivansh,Gujarat,Nagpur,Electronics,Accessories,UPI,1,4890,1496
ORD00093,2024-01-04 20:00:00,Kiran,Maharashtra,Surat,Home Decor,Sofa,Debit Card,5,15213,4885
ORD00094,2024-01-04 21:00:00,Vikram,Telangana,Chennai,Clothing,Bookcases,COD,5,18369,-574
ORD00095,2024-01-04 22:00:00,Priya,Tamil Nadu,Surat,Accessories,Saree,Wallet,5,10097,-85
ORD00096,2024-01-04 23:00:00,Vikram,Karnataka,Nagpur,Electronics,Cushion,EMI,2,7831,2169
ORD00097,2024-01-05 00:00:00,Sneha,Tamil Nadu,Nagpur,Electronics,Cushion,Wallet,5,14125,3726
ORD00098,2024-01-05 01:00:00,Priya,Rajasthan,Chennai,Clothing,Laptop,Credit Card,3,7211,3321
ORD00099,2024-01-05 02:00:00,Sneha,Maharashtra,Jaipur,Electronics,Sofa,UPI,4,6031,-554
ORD00100,2024-01-05 03:00:00,Rohit,Rajasthan,Mumbai,Accessories,Earphones,Wallet,5,17579,910
ORD00101,2024-01-05 04:00:00,Madhav,Tamil Nadu,Indore,Clothing,Mobiles,COD,3,15090,2735
ORD00102,2024-01-05 05:00:00,Harivansh,Karnataka,Mumbai,Home Decor,Shirts,Credit Card,3,13755,4595
ORD00103,2024-01-05 06:00:00,Priya,Gujarat,Nagpur,Clothing,Sofa,Debit Card,2,11755,1250
ORD00104,2024-01-05 07:00:00,Priya,Tamil Nadu,Ahmedabad,Clothing,Watch,EMI,2,12345,3770
ORD00105,2024-01-05 08:00:00,Rohit,Madhya Pradesh,Bhopal,Home Decor,Saree,Credit Card,4,19030,4416
ORD00106,2024-01-05 09:00:00,Kiran,Tamil Nadu,Chennai,Accessories,Bookcases,EMI,4,3831,1681
ORD00107,2024-01-05 10:00:00,Madan Mohan,Madhya Pradesh,Bhopal,Furniture,Laptop,Wallet,1,10966,401
ORD00108,2024-01-05 11:00:00,Rohit,Gujarat,Hyderabad,Furniture,Sofa,Credit Card,4,18545,2407
ORD00109,2024-01-05 12:00:00,Aarav,Tamil Nadu,Indore,Home Decor,Laptop,Debit Card,2,5152,43
ORD00110,2024-01-05 13:00:00,Madan Mohan,Maharashtra,Nagpur,Accessories,Saree,Wallet,3,16714,4363
ORD00111,2024-01-05 14:00:00,Harivansh,Maharashtra,Bhopal,Electronics,Accessories,COD,1,14581,4363
ORD00112,2024-01-05 15:00:00,Madan Mohan,Rajasthan,Hyderabad,Home Decor,Laptop,EMI,4,16070,2018
ORD00113,2024-01-05 16:00:00,Kiran,Gujarat,Indore,Furniture,Cushion,EMI,3,14687,-609
ORD00114,2024-01-05 17:00:00,Madan Mohan,Maharashtra,Surat,Accessories,Earphones,COD,2,16926,3819
ORD00115,2024-01-05 18:00:00,Harivansh,Tamil Nadu,Indore,Clothing,Accessories,EMI,5,13273,4984
ORD00116,2024-01-05 19:00:00,Kiran,Gujarat,Hyderabad,Accessories,Sofa,Wallet,1,14223,285
ORD00117,2024-01-05 20:00:00,Vikram,Karnataka,Chennai,Accessories,Bookcases,UPI,3,5811,4127
ORD00118,2024-01-05 21:00:00,Priya,Madhya Pradesh,Surat,Furniture,Cushion,COD,2,5808,3109
ORD00119,2024-01-05 22:00:00,Priya,Tamil Nadu,Jaipur,Furniture,Saree,Debit Card,2,4968,1434
ORD00120,2024-01-05 23:00:00,Sneha,Madhya Pradesh,Chennai,Electronics,Accessories,Credit Card,1,6387,-359
ORD00121,2024-01-06 00:00:00,Vikram,Madhya Pradesh,Hyderabad,Electronics,Cushion,Credit Card,1,7315,45
ORD00122,2024-01-06 01:00:00,Vikram,Gujarat,Bhopal,Home Decor,Earphones,COD,4,6962,3320
ORD00123,2024-01-06 02:00:00,Madan Mohan,Gujarat,Indore,Clothing,Accessories,UPI,4,11914,3037
ORD00124,2024-01-06 03:00:00,Priya,Rajasthan,Indore,Electronics,Mobiles,Wallet,1,4303,2047
ORD00125,2024-01-06 04:00:00,Harivansh,Madhya Pradesh,Chennai,Furniture,Mobiles,Debit Card,1,898,157
ORD00126,2024-01-06 05:00:00,Shiva,Rajasthan,Indore,Accessories,Accessories,Credit Card,3,18879,2249
ORD00127,2024-01-06 06:00:00,Shiva,Madhya Pradesh,Hyderabad,Home Decor,Accessories,Credit Card,4,369,2627
ORD00128,2024-01-06 07:00:00,Kiran,Rajasthan,Ahmedabad,Electronics,Mobiles,Wallet,2,8439,543
ORD00129,2024-01-06 08:00:00,Priya,Rajasthan,Indore,Accessories,Sofa,UPI,4,9885,-209
ORD00130,2024-01-06 09:00:00,Priya,Karnataka,Chennai,Accessories,Laptop,EMI,4,3959,4658
ORD00131,2024-01-06 10:00:00,Shiva,Rajasthan,Ahmedabad,Electronics,Bookcases,COD,1,5934,-564
ORD00132,2024-01-06 11:00:00,Priya,Gujarat,Bengaluru,Clothing,Cushion,UPI,1,18965,4170
ORD00133,2024-01-06 12:00:00,Madan Mohan,Rajasthan,Jaipur,Clothing,Cushion,UPI,4,7122,2514
ORD00134,2024-01-06 13:00:00,Aarav,Madhya Pradesh,Bengaluru,Home Decor,Saree,UPI,5,3982,3676
ORD00135,2024-01-06 14:00:00,Madhav,Rajasthan,Jodhpur,Clothing,Bookcases,UPI,5,2983,3782
ORD00136,2024-01-06 15:00:00,Vikram,Maharashtra,Chennai,Home Decor,Shirts,EMI,4,4862,3460
ORD00137,2024-01-06 16:00:00,Sneha,Telangana,Bengaluru,Furniture,Mobiles,Wallet,5,4952,2959
ORD00138,2024-01-06 17:00:00,Kiran,Madhya Pradesh,Nagpur,Electronics,Shirts,Debit Card,4,13481,3364
ORD00139,2024-01-06 18:00:00,Aarav,Maharashtra,Surat,Accessories,Earphones,UPI,1,9802,716
ORD00140,2024-01-06 19:00:00,Shiva,Madhya Pradesh,Nagpur,Home Decor,Bookcases,UPI,1,5013,2636
ORD00141,2024-01-06 20:00:00,Vikram,Gujarat,Mumbai,Clothing,Watch,COD,1,5713,2364
ORD00142,2024-01-06 21:00:00,Priya,Telangana,Bengaluru,Home Decor,Saree,Credit Card,2,2375,4490
ORD00143,2024-01-06 22:00:00,Sneha,Telangana,Chennai,Home Decor,Accessories,EMI,1,1082,4671
ORD00144,2024-01-06 23:00:00,Priya,Gujarat,Bhopal,Clothing,Earphones,UPI,1,9825,3173
ORD00145,2024-01-07 00:00:00,Harivansh,Telangana,Pune,Clothing,Laptop,Debit Card,4,12209,-812
ORD00146,2024-01-07 01:00:00,Harivansh,Gujarat,Bengaluru,Electronics,Watch,Debit Card,5,15262,4726
ORD00147,2024-01-07 02:00:00,Sneha,Maharashtra,Jaipur,Accessories,Bookcases,Debit Card,5,16153,4421
ORD00148,2024-01-07 03:00:00,Sneha,Karnataka,Bengaluru,Electronics,Bookcases,COD,1,17741,1718
ORD00149,2024-01-07 04:00:00,Shiva,Madhya Pradesh,Ahmedabad,Electronics,Shirts,Debit Card,1,2354,1405
ORD00150,2024-01-07 05:00:00,Sneha,Gujarat,Mumbai,Clothing,Sofa,Wallet,1,14675,4054
ORD00151,2024-01-07 06:00:00,Madan Mohan,Madhya Pradesh,Indore,Clothing,Shirts,COD,4,11893,2930
ORD00152,2024-01-07 07:00:00,Priya,Maharashtra,Mumbai,Accessories,Cushion,EMI,4,13496,2165
ORD00153,2024-01-07 08:00:00,Aarav,Karnataka,Mumbai,Home Decor,Shirts,Debit Card,4,2409,-98
ORD00154,2024-01-07 09:00:00,Rohit,Maharashtra,Surat,Electronics,Sofa,Credit Card,5,1620,-660
ORD00155,2024-01-07 10:00:00,Sneha,Telangana,Hyderabad,Accessories,Laptop,UPI,2,15014,1881
ORD00156,2024-01-07 11:00:00,Kiran,Madhya Pradesh,Pune,Electronics,Earphones,EMI,5,16287,4161
ORD00157,2024-01-07 12:00:00,Harivansh,Tamil Nadu,Mumbai,Home Decor,Mobiles,Wallet,4,4717,3506
ORD00158,2024-01-07 13:00:00,Madan Mohan,Karnataka,Hyderabad,Electronics,Bookcases,Credit Card,3,3999,3993
ORD00159,2024-01-07 14:00:00,Vikram,Telangana,Surat,Furniture,Accessories,EMI,2,17416,-357
ORD00160,2024-01-07 15:00:00,Rohit,Karnataka,Indore,Accessories,Shirts,Wallet,1,13968,-980
ORD00161,2024-01-07 16:00:00,Aarav,Telangana,Nagpur,Clothing,Watch,Debit Card,5,6862,2072
ORD00162,2024-01-07 17:00:00,Rohit,Maharashtra,Chennai,Electronics,Laptop,EMI,2,13947,-323
ORD00163,2024-01-07 18:00:00,Sneha,Gujarat,Indore,Accessories,Saree,EMI,3,16659,99
ORD00164,2024-01-07 19:00:00,Shiva,Madhya Pradesh,Hyderabad,Accessories,Bookcases,EMI,2,14502,1650
ORD00165,2024-01-07 20:00:00,Harivansh,Rajasthan,Bhopal,Electronics,Sofa,COD,5,9096,2469
ORD00166,2024-01-07 21:00:00,Harivansh,Rajasthan,Mumbai,Clothing,Cushion,Credit Card,4,2022,3183
ORD00167,2024-01-07 22:00:00,Vikram,Maharashtra,Hyderabad,Clothing,Sofa,Wallet,1,10896,4713
ORD00168,2024-01-07 23:00:00,Shiva,Madhya Pradesh,Mumbai,Electronics,Shirts,Debit Card,4,14836,1064
ORD00169,2024-01-08 00:00:00,Priya,Madhya Pradesh,Nagpur,Accessories,Earphones,UPI,4,11974,2400
ORD00170,2024-01-08 01:00:00,Madhav,Maharashtra,Jaipur,Clothing,Cushion,Debit Card,5,15947,1871
ORD00171,2024-01-08 02:00:00,Madan Mohan,Madhya Pradesh,Mumbai,Electronics,Watch,Debit Card,4,3112,1430
ORD00172,2024-01-08 03:00:00,Harivansh,Gujarat,Hyderabad,Electronics,Sofa,COD,4,10073,4684
ORD00173,2024-01-08 04:00:00,Kiran,Maharashtra,Chennai,Electronics,Watch,COD,5,2578,1687
ORD00174,2024-01-08 05:00:00,Harivansh,Gujarat,Pune,Accessories,Saree,EMI,5,15754,4265
ORD00175,2024-01-08 06:00:00,Rohit,Madhya Pradesh,Chennai,Clothing,Watch,Debit Card,3,2650,416
ORD00176,2024-01-08 07:00:00,Harivansh,Maharashtra,Jodhpur,Accessories,Bookcases,Credit Card,4,3923,3405
ORD00177,2024-01-08 08:00:00,Harivansh,Madhya Pradesh,Mumbai,Furniture,Laptop,COD,2,6830,-509
ORD00178,2024-01-08 09:00:00,Madhav,Maharashtra,Jodhpur,Clothing,Cushion,Wallet,1,17398,-241
ORD00179,2024-01-08 10:00:00,Madhav,Madhya Pradesh,Indore,Accessories,Bookcases,COD,1,16287,2501
ORD00180,2024-01-08 11:00:00,Aarav,Gujarat,Bengaluru,Clothing,Accessories,Credit Card,5,1224,-1000
ORD00181,2024-01-08 12:00:00,Priya,Tamil Nadu,Jaipur,Furniture,Sofa,COD,5,19846,1088
ORD00182,2024-01-08 13:00:00,Kiran,Gujarat,Surat,Home Decor,Sofa,Credit Card,3,4829,2656
ORD00183,2024-01-08 14:00:00,Harivansh,Madhya Pradesh,Ahmedabad,Electronics,Accessories,UPI,4,12570,3767
ORD00184,2024-01-08 15:00:00,Harivansh,Maharashtra,Jaipur,Accessories,Watch,Credit Card,5,19253,-789
ORD00185,2024-01-08 16:00:00,Madan Mohan,Rajasthan,Chennai,Furniture,Bookcases,UPI,5,3115,4452
ORD00186,2024-01-08 17:00:00,Madhav,Gujarat,Hyderabad,Furniture,Cushion,Wallet,1,4878,2722
ORD00187,2024-01-08 18:00:00,Kiran,Gujarat,Ahmedabad,Clothing,Cushion,EMI,4,4762,2517
ORD00188,2024-01-08 19:00:00,Vikram,Telangana,Indore,Clothing,Accessories,EMI,3,1188,965
ORD00189,2024-01-08 20:00:00,Aarav,Rajasthan,Jaipur,Electronics,Sofa,COD,5,13942,-697
ORD00190,2024-01-08 21:00:00,Priya,Madhya Pradesh,Surat,Clothing,Accessories,Credit Card,5,2023,3786
ORD00191,2024-01-08 22:00:00,Shiva,Tamil Nadu,Ahmedabad,Accessories,Saree,COD,5,17942,2772
ORD00192,2024-01-08 23:00:00,Priya,Maharashtra,Nagpur,Accessories,Saree,Credit Card,1,8902,781
ORD00193,2024-01-09 00:00:00,Rohit,Telangana,Pune,Accessories,Saree,COD,5,18914,4929
ORD00194,2024-01-09 01:00:00,Harivansh,Madhya Pradesh,Jaipur,Home Decor,Mobiles,EMI,5,11686,2225
ORD00195,2024-01-09 02:00:00,Aarav,Karnataka,Indore,Accessories,Laptop,Wallet,1,18744,3711
ORD00196,2024-01-09 03:00:00,Rohit,Tamil Nadu,Mumbai,Clothing,Earphones,EMI,5,2913,3618
ORD00197,2024-01-09 04:00:00,Kiran,Gujarat,Surat,Clothing,Shirts,COD,4,10304,1072
ORD00198,2024-01-09 05:00:00,Shiva,Karnataka,Ahmedabad,Accessories,Mobiles,Credit Card,4,18486,-193
ORD00199,2024-01-09 06:00:00,Madhav,Gujarat,Ahmedabad,Furniture,Cushion,Debit Card,1,16280,3120
ORD00200,2024-01-09 07:00:00,Aarav,Gujarat,Pune,Furniture,Watch,Wallet,4,12398,776
ORD00201,2024-01-09 08:00:00,Aarav,Karnataka,Ahmedabad,Furniture,Sofa,Credit Card,3,977,2190
ORD00202,2024-01-09 09:00:00,Harivansh,Tamil Nadu,Jodhpur,Electronics,Watch,COD,5,11402,3042
ORD00203,2024-01-09 10:00:00,Sneha,Karnataka,Bhopal,Home Decor,Accessories,Credit Card,3,8030,3203
ORD00204,2024-01-09 11:00:00,Aarav,Madhya Pradesh,Jodhpur,Accessories,Sofa,UPI,4,10743,353
ORD00205,2024-01-09 12:00:00,Madan Mohan,Telangana,Ahmedabad,Electronics,Shirts,Credit Card,1,3304,-821
ORD00206,2024-01-09 13:00:00,Shiva,Telangana,Surat,Furniture,Shirts,EMI,1,15702,-120
ORD00207,2024-01-09 14:00:00,Shiva,Karnataka,Jaipur,Accessories,Bookcases,EMI,3,9286,830
ORD00208,2024-01-09 15:00:00,Madan Mohan,Madhya Pradesh,Indore,Electronics,Watch,UPI,4,1028,3698
ORD00209,2024-01-09 16:00:00,Vikram,Telangana,Mumbai,Clothing,Earphones,Wallet,5,14473,3002
ORD00210,2024-01-09 17:00:00,Madan Mohan,Madhya Pradesh,Jaipur,Furniture,Shirts,Credit Card,4,15141,1800
ORD00211,2024-01-09 18:00:00,Madan Mohan,Madhya Pradesh,Nagpur,Electronics,Laptop,Wallet,4,490,3263
ORD00212,2024-01-09 19:00:00,Shiva,Gujarat,Jaipur,Clothing,Bookcases,Debit Card,1,14389,-778
ORD00213,2024-01-09 20:00:00,Priya,Telangana,Jaipur,Furniture,Earphones,Credit Card,2,10488,3564
ORD00214,2024-01-09 21:00:00,Shiva,Telangana,Indore,Home Decor,Sofa,EMI,5,10599,3373
ORD00215,2024-01-09 22:00:00,Sneha,Gujarat,Pune,Furniture,Watch,EMI,5,13990,1237
ORD00216,2024-01-09 23:00:00,Harivansh,Karnataka,Ahmedabad,Home Decor,Watch,Wallet,1,14040,1578
ORD00217,2024-01-10 00:00:00,Rohit,Gujarat,Pune,Home Decor,Earphones,COD,4,10601,4645
ORD00218,2024-01-10 01:00:00,Priya,Telangana,Nagpur,Home Decor,Earphones,EMI,1,6339,778
ORD00219,2024-01-10 02:00:00,Madhav,Telangana,Bengaluru,Accessories,Shirts,COD,4,6745,-380
ORD00220,2024-01-10 03:00:00,Rohit,Tamil Nadu,Mumbai,Accessories,Sofa,EMI,2,9129,213
ORD00221,2024-01-10 04:00:00,Harivansh,Karnataka,Jodhpur,Home Decor,Bookcases,EMI,2,4345,3054
ORD00222,2024-01-10 05:00:00,Sneha,Gujarat,Mumbai,Clothing,Laptop,Debit Card,3,5924,3313
ORD00223,2024-01-10 06:00:00,Sneha,Maharashtra,Hyderabad,Home Decor,Cushion,COD,4,11311,4430
ORD00224,2024-01-10 07:00:00,Madhav,Maharashtra,Ahmedabad,Electronics,Cushion,COD,1,7134,3263
ORD00225,2024-01-10 08:00:00,Priya,Karnataka,Hyderabad,Home Decor,Mobiles,EMI,1,9333,1827
ORD00226,2024-01-10 09:00:00,Vikram,Gujarat,Hyderabad,Accessories,Laptop,COD,1,3547,1240
ORD00227,2024-01-10 10:00:00,Madan Mohan,Gujarat,Mumbai,Accessories,Sofa,EMI,3,17900,4281
ORD00228,2024-01-10 11:00:00,Priya,Madhya Pradesh,Bhopal,Electronics,Sofa,EMI,5,8280,362
ORD00229,2024-01-10 12:00:00,Vikram,Telangana,Jodhpur,Electronics,Bookcases,Wallet,1,5886,1838
ORD00230,2024-01-10 13:00:00,Sneha,Rajasthan,Nagpur,Furniture,Watch,Credit Card,2,8240,1502
ORD00231,2024-01-10 14:00:00,Shiva,Tamil Nadu,Ahmedabad,Clothing,Mobiles,COD,1,18906,1240
